,specimen_id,image_series_id,errors,layer_depth,layer_thickness,normalized_layer_depth,normalized_depth,absolute_depth,cortex_thickness,wm_distance,layer
0,637358051,639676701,No soma centers found.,,,,,,,,
1,637381329,639676822,No soma centers found.,,,,,,,,
2,637833144,639678048,[],91.15532178495381,115.49795037155393,0.7892375708115122,0.09408881914608244,91.15532178495381,968.8220408359672,877.6667190510134,Layer1
3,637824915,639678048,Missing soma center,,,,,,,,
4,637846989,639678276,[],13.231416724159233,220.21895427762834,0.060083005877316485,0.1369254006259065,151.95733488332166,1109.7819264263749,957.8245915430531,Layer2/3
5,637866154,639682460,No soma centers found.,,,,,,,,
6,638205354,639684172,[],62.40818827479585,127.1722744580523,0.49073737605739803,0.0610256003683974,65.3894339272886,1071.5082446145182,1006.1188106872295,Layer1
7,638212024,639684172,[],8.000459980376847,292.7967721454488,0.02732427656819442,0.11242869839428861,120.19074808272183,1069.039754077839,948.8490059951173,Layer2/3
8,638225388,639684172,Missing soma center,,,,,,,,
9,638246905,639684923,No soma centers found.,,,,,,,,
10,639018814,642363414,[],178.22958110880558,272.32573019784746,0.6544720580729553,0.6832783714539815,640.4579387049467,937.3309114732915,296.8729727683447,Layer5
11,639216521,642364025,No soma centers found.,,,,,,,,
12,639689999,643498169,Missing pia/wm.,,,,,,,,
13,639796648,643498263,No soma centers found.,,,,,,,,
14,640106803,643502191,No soma centers found.,,,,,,,,
15,640311818,643503163,No soma centers found.,,,,,,,,
16,640319052,643503189,All cells in slice failed unexpectedly: {640319052: 'Point not found in any layer'},,,,,,,,
17,642110310,643503531,No soma centers found.,,,,,,,,
18,642124659,643503550,[],131.22146904719918,210.71492437498603,0.6227440673052606,0.2852778043819145,269.7738700684595,945.653205137897,675.8793350694375,Layer2/3
19,642429586,644738007,No soma centers found.,,,,,,,,
20,642442513,644738133,No soma centers found.,,,,,,,,
21,642488015,644738231,[],,,,0.09488790681919707,99.56828785161773,1049.325369157303,949.7570813056852,Layer1
22,642496703,644738290,[],46.59323772092761,127.3936862672355,0.36574212652256827,0.04859841045719893,46.55910551650401,958.0376205412941,911.4785150247901,Layer1
23,642512300,644738347,No soma centers found.,,,,,,,,
24,642532676,644738347,No soma centers found.,,,,,,,,
25,642767494,644738530,No soma centers found.,,,,,,,,
26,642827810,644738679,No soma centers found.,,,,,,,,
27,642833509,644738738,No soma centers found.,,,,,,,,
28,642842839,644738767,No soma centers found.,,,,,,,,
29,642851911,644738788,[],96.26381862074535,104.49298257141152,0.9212467311377367,0.09162871218511008,98.97277339641599,1080.150217504632,981.1774441082162,Layer1
30,643190956,644739333,No soma centers found.,,,,,,,,
31,643251590,644739371,No soma centers found.,,,,,,,,
32,643269551,644739409,No soma centers found.,,,,,,,,
33,643501610,645325679,No soma centers found.,,,,,,,,
34,643536919,645325964,[],144.1462217624198,213.21743056065367,0.6760527100593435,0.6642865423796696,653.4686433136529,983.7150109540626,330.2463676404096,Layer5
35,644842725,646750037,Missing pia/wm.,,,,,,,,
36,644848057,646750502,Missing pia/wm.,,,,,,,,
37,644857312,646750502,Missing pia/wm.,,,,,,,,
38,644917900,646751115,[],59.75866222335733,116.06365797159933,0.5148783285632805,0.05948178164125875,59.75866222335733,1004.6548804433679,944.8962182200106,Layer1
39,644919379,646751286,No soma centers found.,,,,,,,,
40,644934835,646751893,No soma centers found.,,,,,,,,
41,644935848,646751912,[],102.06604570561034,156.9201386095,0.6504330585611096,0.11220067187132966,105.13002579298794,936.982141368545,831.852115575557,Layer1
42,644935037,646751912,Point not found in any layer,,,,,,,,
43,644936843,646751931,No soma centers found.,,,,,,,,
44,644941196,646751970,[],112.14122506423769,151.29687058964265,0.7411998981022847,0.11627688069743289,112.81180502720983,970.1997882172328,857.387983190023,Layer1
45,644946047,646752196,No soma centers found.,,,,,,,,
46,644946408,646752196,No soma centers found.,,,,,,,,
47,644957513,646752995,No soma centers found.,,,,,,,,
48,644976625,646753403,[],121.89281039381072,174.905002818807,0.6969086557237342,0.11709735865393614,123.99075759994558,1058.8689533671024,934.8781957671569,Layer1
49,644994103,646756353,[],129.03658130021344,253.49724691293855,0.5090255727492375,0.6401190195755377,626.72498631687,979.0757142827135,352.3507279658436,Layer5
50,645000287,646756353,Missing soma center,,,,,,,,
51,645016032,646756989,No soma centers found.,,,,,,,,
52,645009607,646757163,[],42.91592156051844,239.32756148075862,0.17931876000821068,0.16660279909264789,164.54495697225366,987.6482140059973,823.1032570337436,Layer2/3
53,645016286,646757163,Missing soma center,,,,,,,,
54,645023727,646757475,No soma centers found.,,,,,,,,
55,645075128,646757757,[],41.47871363681458,101.24977424694316,0.409667220942637,0.045118765937603264,44.11497614629349,977.7522773406977,933.6373011944041,Layer1
56,645158069,646757909,[],104.0180151656376,177.6824705448429,0.5854151782484693,0.3040772500783873,326.60490674614834,1074.085307802388,747.4804010562394,Layer2/3
57,645162257,646757948,No soma centers found.,,,,,,,,
58,645169930,646757967,[],88.14434989991338,126.97227827753719,0.694201530410021,0.08216087631975594,89.76229736815756,1092.5187435783694,1002.7564462102117,Layer1
59,647041020,649504988,Missing pia/wm.,,,,,,,,
60,648582997,651661275,[],91.15702317316212,114.23701042221646,0.7979640121555053,0.08762415412889477,91.15702317316207,1040.3184382136285,949.1614150404664,Layer1
61,648585371,651661275,[],73.89140650315606,117.47076489344997,0.6290195400547371,0.07192995329721255,73.89140650315606,1027.2689347904738,953.3775282873178,Layer1
