ROI nr,Species,Cortical area,Human subject nr/mouse nr,Slice nr,"L1 thickness, um",L1 Neuron Density,"Cell Soma Area, um",Neuron Count in 1 mm wide ROI of L1
1,human ,Frontal Cortex,126,1,244.3773609,10100.92955,109.6842105,74.05315521
2,human ,Frontal Cortex,126,1,247.5827684,13506.21286,111.1590909,100.3171671
3,human ,Frontal Cortex,135,1,187.4889619,10300.57065,81.8,57.93729896
4,human ,Frontal Cortex,135,1,197.4458156,9845.717605,58.96666667,58.31987227
5,human ,Frontal Cortex,136,1,229.1994989,19806.92553,104.9565217,136.1921222
6,human ,Frontal Cortex,140,1,197.6727462,11752.40924,70.5106383,69.69393028
7,human ,Frontal Cortex,140,1,233.1679563,15893.68348,84.48717949,111.1769309
8,human ,Frontal Cortex,140,1,158.6937602,20860.04959,85.81967213,99.31079121
9,human ,Frontal Cortex,140,1,180.2041223,18684.42933,91.75,101.0103356
10,human ,Frontal Cortex,140,1,268.887847,16992.69821,62.25373134,137.0739011
11,human ,Frontal Cortex,140,1,172.6284436,23916.4409,85.31034483,123.8597391
12,human ,Frontal Cortex,166,1,228.6744618,16937.30315,80.17021277,116.1938604
13,human ,Frontal Cortex,166,1,193.4070612,17440.04983,73.97619048,101.1908635
14,human ,Frontal Cortex,171,1,189.2103057,8861.866617,42.60869565,50.30269475
15,human ,Frontal Cortex,171,1,187.7188949,10729.61373,66.06666667,60.42453698
16,human ,Frontal Cortex,171,1,247.8415661,14915.02821,78.47058824,110.8969185
17,human ,Frontal Cortex,171,1,210.6940254,13392.98642,73.62162162,84.65466664
18,human ,Frontal Cortex,181,1,218.6223897,6753.970624,83.21052632,44.29707592
19,human ,Frontal Cortex,181,1,213.4497358,6724.271257,64.55555556,43.0588177
20,human ,Frontal Cortex,200,1,321.1792789,10764.49439,85.17333333,103.7199764
21,human ,Frontal Cortex,200,1,302.6125565,15271.42069,173.7358491,138.6397097
