ROI nr,Species,Cortical area,Human subject nr/mouse nr,Slice nr,"L1 thickness, um",L1 Neuron Density,"Cell Soma Area, um",Neuron Count in 1 mm wide ROI of L1
22,human ,Frontal Cortex,200,1,291.8160301,9418.130758,68.32727273,82.45084587
23,human ,Frontal Cortex,200,1,352.9332137,8810.914256,56.73333333,93.28992853
24,human ,Temporal Cortex,124,1,238.821566,10223.17639,77.52173913,73.24544981
25,human ,Temporal Cortex,124,1,268.1763103,12469.75485,102.5192308,100.3227854
26,human ,Temporal Cortex,124,1,270.8444157,12468.39608,115.462963,101.3098635
27,human ,Temporal Cortex,124,2,232.4083702,10333.42519,104.8333333,72.04723518
28,human ,Temporal Cortex,124,2,270.2101182,9317.39831,88.46341463,75.52965896
29,human ,Temporal Cortex,124,2,203.0307627,15793.51112,71.54285714,96.19705827
30,human ,Temporal Cortex,124,2,216.1776066,12432.64672,68.67924528,80.62979435
31,human ,Temporal Cortex,124,2,227.4027726,10250.1025,95.38461538,69.92705183
32,human ,Temporal Cortex,124,2,224.8338611,11507.98309,95.76,77.62152812
33,human ,Temporal Cortex,124,3,260.2773025,13395.03166,115.0606061,104.5926812
34,human ,Temporal Cortex,124,3,223.2550128,13133.70108,99.27160494,87.96493805
35,human ,Temporal Cortex,124,3,238.5958869,10810.54111,90.17948718,77.38051933
36,human ,Temporal Cortex,124,3,234.4694389,11096.49476,90.19354839,78.053667
37,human ,Temporal Cortex,124,3,276.5773344,10317.05603,100.8333333,85.60391564
38,human ,Temporal Cortex,124,3,242.0712033,9505.003196,102.65,69.02662684
39,human ,Temporal Cortex,124,3,280.7801831,12046.07727,89.62711864,101.4689934
40,human ,Temporal Cortex,124,3,219.8140852,12446.93674,85.07017544,82.08036042
41,human ,Temporal Cortex,124,3,215.8769535,12283.01449,112.2112676,79.54859245
42,human ,Temporal Cortex,124,3,276.8192427,10261.28975,91.43636364,85.21567375
43,human ,Temporal Cortex,128,1,256.9132151,10780.71804,69.64,83.09126798
44,human ,Temporal Cortex,134,1,147.8619409,4381.208995,53.625,19.43442196
45,human ,Temporal Cortex,134,1,110.0194088,16630.94094,57.2962963,54.89178868
46,human ,Temporal Cortex,134,2,261.9674006,7416.784952,68.55172414,58.28867624
47,human ,Temporal Cortex,134,2,263.6887422,5056.011123,93.6875,39.9963964
48,human ,Temporal Cortex,134,2,288.276151,5625.309392,67,48.64927618
49,human ,Temporal Cortex,134,2,280.4052885,3831.417625,55.46666667,32.23049294
50,human ,Temporal Cortex,137,1,210.2877748,14275.51749,64.83928571,90.0590042
51,human ,Temporal Cortex,137,1,209.7304564,8098.126151,78.78571429,50.9527108
52,human ,Temporal Cortex,137,1,257.1678918,17250.92185,84.375,133.0914961
53,human ,Temporal Cortex,138,1,233.9015492,11022.40698,96.24489796,77.34474204
54,human ,Temporal Cortex,139,1,165.4857171,11495.296,75.94736842,57.06921909
55,human ,Temporal Cortex,139,1,155.3001288,12422.36025,78.5,57.87582441
56,human ,Temporal Cortex,139,1,186.2014196,11844.13123,110.4166667,66.16182149
57,human ,Temporal Cortex,139,1,239.5217151,8785.872317,102.4242424,63.13221619
58,human ,Temporal Cortex,139,1,226.7474258,8381.985291,98.73913043,57.01780765
59,human ,Temporal Cortex,139,1,192.9824513,9764.837246,92.47826087,56.53326684
60,human ,Temporal Cortex,139,1,189.405525,11559.65424,96.11111111,65.68387141
61,human ,Temporal Cortex,139,1,209.0227561,12017.42527,87.46875,75.35746053
62,human ,Temporal Cortex,139,1,205.3245327,8373.806733,87.94444444,51.58043864
63,human ,Temporal Cortex,144,1,177.1037117,10681.58204,76.36363636,56.75243479
64,human ,Temporal Cortex,144,1,223.0484459,12067.28719,103.1111111,80.74768964
65,human ,Temporal Cortex,146,2,164.2079416,22473.10378,66.92727273,110.7078634
66,human ,Temporal Cortex,146,2,139.7457174,15282.47864,66.14705882,64.06982823
67,human ,Temporal Cortex,146,2,150.8455561,11767.64779,69.29166667,53.25292127
68,human ,Temporal Cortex,146,2,177.2861319,11926.86575,75.37837838,63.43403684
69,human ,Temporal Cortex,146,2,228.6538753,12592.79314,87.11666667,86.38172859
70,human ,Temporal Cortex,146,2,221.0985467,6610.677106,66.86956522,43.84833302
71,human ,Temporal Cortex,146,2,274.2495606,8623.759291,83.80645161,70.9518659
72,human ,Temporal Cortex,146,2,247.2445996,7394.41583,69.8125,54.84688142
73,human ,Temporal Cortex,147,1,219.3255541,18729.13155,97.12068966,123.2333147
74,human ,Temporal Cortex,147,1,177.4124306,17420.66895,94.66666667,92.71929665
75,human ,Temporal Cortex,147,1,217.3763202,12589.95728,74.58064516,82.1027575
76,human ,Temporal Cortex,147,1,176.3064491,19105.97226,72.89655172,101.0551838
77,human ,Temporal Cortex,147,1,160.487223,13159.04904,80.72222222,63.35577713
78,human ,Temporal Cortex,165,1,231.2274891,13605.65995,128.4313725,94.38007767
79,human ,Temporal Cortex,165,1,255.698289,17355.81655,105.8857143,133.1355779
80,human ,Temporal Cortex,168,1,198.7605982,15676.76914,71.44230769,93.47772037
81,human ,Temporal Cortex,168,1,181.8040349,15291.3451,57.79411765,83.40084712
82,human ,Temporal Cortex,183,1,368.3415045,3394.67182,188.952381,37.51195577
83,human ,Temporal Cortex,183,1,498.3275382,2771.091713,230.1162791,41.42733935
84,human ,Temporal Cortex,183,1,500.7183354,3246.756021,259.7631579,48.7713081
85,human ,Temporal Cortex,184,1,447.8841532,2963.586414,304.5,39.82030174
86,human ,Temporal Cortex,186,1,291.2651593,9692.260421,78.34042553,84.69053327
87,human ,Temporal Cortex,186,1,215.7904687,8789.920891,66.77777778,56.90343446
88,human ,Temporal Cortex,190,1,183.2363472,8671.64145,62.68421053,47.66879711
89,human ,Temporal Cortex,190,1,208.2144381,10444.36005,60.84848485,65.23999675
90,human ,Temporal Cortex,190,1,196.2620538,8668.095169,60.28,51.03654481
91,human ,Temporal Cortex,190,1,241.2100708,8341.613612,75.02941176,60.3624363
92,human ,Temporal Cortex,190,1,193.3559183,13529.57094,86.82608696,78.48067837
93,human ,Temporal Cortex,190,1,194.974723,7563.575138,70.34782609,44.24117902
94,human ,Temporal Cortex,190,1,187.5185893,7497.375918,57.52,42.17692067
95,human ,Temporal Cortex,198,1,248.5003633,9227.261498,78.80645161,68.78933503
96,human ,Temporal Cortex,198,1,230.1147001,8843.644368,69.59259259,61.05157715
97,human ,Temporal Cortex,198,1,252.6362453,9561.002876,100.5128205,72.46367603
98,human ,Temporal Cortex,198,1,241.8314678,14726.69181,84.13043478,106.8413249
99,human ,Temporal Cortex,198,1,249.764405,11640.41248,91.02173913,87.22082087
100,mouse,Temporal Association Area,500402460,4,157.4241751,14800.50478,189.6797895,46.59914511
101,mouse,Temporal Association Area,500402460,5,112.0911979,21686.546,146.5241538,48.61741837
102,mouse,Temporal Association Area,500402460,19,141.4561228,9020.54881,200.2725,25.5202372
103,mouse,Temporal Association Area,500403564,5,151.4692769,8957.496678,74.09258333,27.1357109
104,mouse,Temporal Association Area,500403564,18,154.9850742,15524.09339,136.33365,48.12005532
105,mouse,Temporal Association Area,500403564,19,152.951812,11973.7945,121.3644286,36.6282713
106,mouse,Temporal Association Area,500406979,4,139.7525252,10404.38371,150.7236,29.08077795
107,mouse,Temporal Association Area,500406979,5,148.6411389,8242.392272,80.3068,24.50317149
108,mouse,Temporal Association Area,500406979,18,126.4361687,3174.905547,77.142,8.028457868
109,mouse,Temporal Association Area,500406979,19,126.5465075,9424.101712,75.97318182,23.85174316
110,mouse,Temporal Association Area,500408552,4,215.8269342,7045.159472,512.6552143,30.41070339
111,mouse,Temporal Association Area,500408552,5,221.3955031,6692.055921,351.7243636,29.63182174
112,mouse,Temporal Association Area,500408552,19,219.7258858,4817.61523,296.2315263,21.17109547
113,mouse,Temporal Association Area,500409501,3,240.4240672,3540.875871,226.1513333,17.02623557
114,mouse,Temporal Association Area,500409501,4,350.3399562,4308.597727,252.2316296,30.18947878
115,mouse,Temporal Association Area,500409501,15,200.6541395,2926.472381,253.2664167,11.74417595
116,mouse,Temporal Association Area,500409501,16,242.8782446,1990.564723,431.204,9.669297316
117,mouse,Temporal Association Area,500410024,4,147.5708915,13880.10672,209.0086667,40.96599446
118,mouse,Temporal Association Area,500410024,5,125.3140975,12635.30304,223.26675,31.66763195
119,mouse,Temporal Association Area,500410024,18,119.6510043,4634.607541,67.0542,11.09070894
120,mouse,Temporal Association Area,500410024,19,100.2392801,10592.57914,89.71642857,21.23585016
121,mouse,Temporal Association Area,500411394,4,134.7612836,6387.572339,97.5154,17.21594895
122,mouse,Temporal Association Area,500411394,5,111.5343294,9931.86739,147.8555,22.15488338
123,mouse,Temporal Association Area,500411394,18,129.0300615,6807.043021,121.0975556,17.56626359
124,mouse,Temporal Association Area,500411394,19,125.025706,7476.324971,104.7241111,18.69465616
125,mouse,Temporal Association Area,500414519,3,305.7855686,3509.614497,275.2022632,21.46378929
126,mouse,Temporal Association Area,500414519,4,260.4300216,3744.908365,438.2030769,19.50573133
127,mouse,Temporal Association Area,500414519,15,230.9596025,4615.611846,231.8875333,21.32039754
128,mouse,Temporal Association Area,500414519,16,230.8812442,3381.996505,249.228,15.61679122
129,mouse,Visual Cortex,50040855,NaN,183.6491393,3318.154166,367.5229091,12.18752313
130,mouse,Visual Cortex,50040855,NaN,170.7586199,4750.910364,354.41525,16.22517794
131,mouse,Visual Cortex,50040855,NaN,167.0814776,3078.892716,268.2666,10.28851889
132,mouse,Visual Cortex,50040855,NaN,203.7681956,3585.241161,247.079,14.61116244
133,mouse,Visual Cortex,50040855,NaN,177.2006748,3773.028064,313.12575,13.37166238
134,mouse,Visual Cortex,50040855,NaN,175.8749953,4520.42201,334.24755,15.900584
135,mouse,Visual Cortex,50040950,NaN,161.5888041,9635.722372,184.5324444,31.14049709
136,mouse,Visual Cortex,50040950,NaN,157.4896997,7105.452619,166.3424,22.38071198
137,mouse,Visual Cortex,50040950,NaN,163.6925275,5900.931045,184.4131579,19.31876635
138,mouse,Visual Cortex,50040950,NaN,171.6906433,5568.278636,241.8730588,19.12042682
139,mouse,Visual Cortex,50040950,NaN,193.5988736,6023.431087,259.33425,23.32258947
140,mouse,Visual Cortex,50040950,NaN,173.7289738,3829.698942,154.5103636,13.30659334
141,mouse,Visual Cortex,50041002,NaN,116.9392918,15231.30573,94.30785,35.6227621
142,mouse,Visual Cortex,50041002,NaN,107.1565629,12576.82712,107.7945,26.95379134
143,mouse,Visual Cortex,50041002,NaN,91.26812994,9303.114832,79.618,16.98155787
144,mouse,Visual Cortex,50041002,NaN,103.0537802,14462.2532,85.9306875,29.80779725
145,mouse,Visual Cortex,50041002,NaN,94.59847907,8087.415745,70.32375,15.30114458
146,mouse,Visual Cortex,50041002,NaN,108.0033344,13745.07561,88.10273684,29.69027994
147,mouse,Visual Cortex,50041139,NaN,89.64076017,5750.642657,79.5522,10.30983959
148,mouse,Visual Cortex,50041139,NaN,117.0817912,8492.633914,112.9666364,19.88665581
149,mouse,Visual Cortex,50041139,NaN,91.31082504,14391.12568,114.368625,26.28131119
150,mouse,Visual Cortex,50041139,NaN,97.09536714,14982.00379,94.22947059,29.09366318
151,mouse,Visual Cortex,50041139,NaN,112.0616677,5678.998688,98.5355,12.72796127
152,mouse,Visual Cortex,50041451,NaN,145.0591582,4726.008834,235.2021,13.71101726
153,mouse,Visual Cortex,50041451,NaN,147.5989071,7924.262865,237.2436316,23.39225076
154,mouse,Visual Cortex,50041451,NaN,200.5606446,6536.458798,252.7479231,26.2191278
155,mouse,Visual Cortex,50041451,NaN,160.0053323,5036.059445,208.50375,16.1159273
156,mouse,Visual Cortex,50041451,NaN,173.172283,4919.07105,202.9272,17.03693528
157,mouse,Visual Cortex,50041451,NaN,178.6904192,9662.45036,152.916931,34.5317461
