"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"GRM1",0.217,-248.741975063438,0.566,-358.858813884949,0.558,0.83,"LAMP5","GRM1"
"RIMS1",0.782,3.40906738116001,0.564,4.91824460485594,1,0.996,"LAMP5","RIMS1"
"MGAT5B",0.782,147.593011794901,0.564,212.93170618637,0.767,0.403,"LAMP5","MGAT5B"
"SORCS1",0.219,-Inf,0.562,-Inf,0.992,0.996,"LAMP5","SORCS1"
"CAMK4",0.221,-194.569111986928,0.558,-280.703892973711,0.837,0.975,"LAMP5","CAMK4"
"LRFN5",0.222,-111.124892301208,0.556,-160.319331042273,0.957,1,"LAMP5","LRFN5"
"CNTNAP5",0.777,294.914056698229,0.554,425.471047086982,1,0.975,"LAMP5","CNTNAP5"
"FAM19A1",0.224,-224.602932599802,0.552,-324.033537030853,0.673,0.875,"LAMP5","FAM19A1"
"SORCS3",0.226,-Inf,0.548,-Inf,0.823,0.989,"LAMP5","SORCS3"
"KHDRBS2",0.227,-85.1931837548348,0.546,-122.907783720642,0.945,0.977,"LAMP5","KHDRBS2"
"DNAH6",0.772,243.220721634437,0.544,350.893328943437,0.847,0.633,"LAMP5","DNAH6"
"UNC13C",0.769,Inf,0.538,Inf,0.881,0.696,"LAMP5","UNC13C"
"SEMA6D",0.232,-Inf,0.536,-Inf,0.937,0.975,"LAMP5","SEMA6D"
"SCN1A",0.766,Inf,0.532,Inf,0.995,0.917,"LAMP5","SCN1A"
"PDE7B",0.234,-Inf,0.532,-Inf,0.595,0.839,"LAMP5","PDE7B"
"COL12A1",0.237,-Inf,0.526,-Inf,0.159,0.605,"LAMP5","COL12A1"
"MACROD2",0.762,211.006513212915,0.524,304.418050207544,1,1,"LAMP5","MACROD2"
"NETO1",0.761,302.761428744924,0.522,436.79241182276,0.972,0.788,"LAMP5","NETO1"
"ELAVL2",0.24,-181.137556983589,0.52,-261.326255178966,0.826,0.968,"LAMP5","ELAVL2"
"CHST15",0.24,-Inf,0.52,-Inf,0.174,0.631,"LAMP5","CHST15"
"OPCML",0.241,-5.52879190429155,0.518,-7.97636066242848,0.998,1,"LAMP5","OPCML"
"NELL2",0.244,-104.148972704206,0.512,-150.255206434038,0.834,0.917,"LAMP5","NELL2"
"BCL11A",0.755,232.551823791187,0.51,335.50136293323,0.88,0.546,"LAMP5","BCL11A"
"NELL1",0.246,-221.038026598137,0.508,-318.890464821014,0.755,0.862,"LAMP5","NELL1"
"RIMBP2",0.752,Inf,0.504,Inf,0.998,0.962,"LAMP5","RIMBP2"
"B3GALT1",0.752,114.762361493634,0.504,165.567089807572,1,0.975,"LAMP5","B3GALT1"
"ST6GAL2",0.751,274.339331787302,0.502,395.787993490333,0.777,0.361,"LAMP5","ST6GAL2"
"PRKCE",0.751,225.783206492374,0.502,325.736312322556,1,0.97,"LAMP5","PRKCE"
"CNTNAP4",0.018,-Inf,0.964,-Inf,0.692,1,"PAX6","CNTNAP4"
"RALYL",0.979,42.3926391846359,0.958,61.1596503218693,1,0.953,"PAX6","RALYL"
"MAN1A1",0.964,136.938079553235,0.928,197.559888280311,0.981,0.293,"PAX6","MAN1A1"
"ZMAT4",0.043,-476.28835633448,0.914,-687.13884971691,0.615,0.971,"PAX6","ZMAT4"
"PEX5L",0.051,-305.567361629972,0.898,-440.840517281086,0.644,0.988,"PAX6","PEX5L"
"PRKCB.1",0.062,-219.227907896611,0.876,-316.279015546904,0.856,0.998,"PAX6","PRKCB"
"SGCZ.1",0.067,-Inf,0.866,-Inf,0.885,0.987,"PAX6","SGCZ"
"MTUS2",0.073,-420.459744205329,0.854,-606.595187858471,0.942,0.998,"PAX6","MTUS2"
"EXT1",0.084,-Inf,0.832,-Inf,0.846,0.993,"PAX6","EXT1"
"CACNA2D1.1",0.085,-604.73808279724,0.83,-872.452633088277,0.683,0.951,"PAX6","CACNA2D1"
"ENOX1",0.905,-127.503193224601,0.81,-183.948224562639,1,0.974,"PAX6","ENOX1"
"KIAA1217.1",0.897,-46.4616418615844,0.794,-67.0299803052669,1,0.957,"PAX6","KIAA1217"
"PRKCE.1",0.103,-428.148756293242,0.794,-617.688087467037,0.894,0.997,"PAX6","PRKCE"
"NRXN3.1",0.893,-27.3539105791173,0.786,-39.4633511414127,1,1,"PAX6","NRXN3"
"SEZ6L",0.887,128.710741798095,0.774,185.690348901252,1,0.969,"PAX6","SEZ6L"
"PDZRN4",0.887,528.456593299076,0.774,762.401706477653,0.875,0.448,"PAX6","PDZRN4"
"CACNA1A.1",0.113,-252.42590815471,0.774,-364.173605886693,0.962,0.999,"PAX6","CACNA1A"
"ZNF804B",0.886,Inf,0.772,Inf,0.99,0.817,"PAX6","ZNF804B"
"TMEM132D.1",0.115,-262.241329128359,0.77,-378.334265049614,0.808,0.992,"PAX6","TMEM132D"
"CAMK2D.1",0.881,85.1693480780505,0.762,122.873396107949,1,0.795,"PAX6","CAMK2D"
"ADAMTS9-AS2",0.12,-Inf,0.76,-Inf,0.26,0.825,"PAX6","ADAMTS9-AS2"
"KIT",0.13,-Inf,0.74,-Inf,0.192,0.811,"PAX6","KIT"
"KCTD16.1",0.13,-249.51861740779,0.74,-359.979271943689,0.875,0.986,"PAX6","KCTD16"
"FAM19A2",0.868,-20.0837156917367,0.736,-28.9746770310924,0.981,0.808,"PAX6","FAM19A2"
"KHDRBS2.1",0.863,38.4002272288814,0.726,55.3998173921166,1,0.954,"PAX6","KHDRBS2"
"RBFOX1.1",0.144,-82.1561683757082,0.712,-118.526296694073,1,1,"PAX6","RBFOX1"
"NELL1.1",0.852,-67.4416445588937,0.704,-97.2977261545121,0.962,0.783,"PAX6","NELL1"
"MGAT5",0.85,64.4354955603802,0.7,92.9607699021833,1,0.841,"PAX6","MGAT5"
"OSBPL6.1",0.152,-474.672091931441,0.696,-684.807073077879,0.808,0.975,"PAX6","OSBPL6"
"NRG1.1",0.153,-524.230226972327,0.694,-756.304348737072,0.798,0.951,"PAX6","NRG1"
"THSD7A",0.154,-Inf,0.692,-Inf,0.51,0.869,"PAX6","THSD7A"
"PDE4D.1",0.841,78.1552707343203,0.682,112.754221507738,1,0.996,"PAX6","PDE4D"
"BCL11A.1",0.161,-358.36555750565,0.678,-517.01221263881,0.279,0.786,"PAX6","BCL11A"
"SGCD",0.837,-Inf,0.674,-Inf,0.981,0.799,"PAX6","SGCD"
"CDH12.1",0.836,-26.4624768585194,0.672,-38.1772841334248,1,0.975,"PAX6","CDH12"
"DNER",0.165,-Inf,0.67,-Inf,0.981,0.998,"PAX6","DNER"
"IGSF21",0.833,295.801116054573,0.666,426.750803221353,0.769,0.288,"PAX6","IGSF21"
"PROX1",0.167,-Inf,0.666,-Inf,0.135,0.746,"PAX6","PROX1"
"GABBR2",0.167,-208.710361408493,0.666,-301.105403386176,1,1,"PAX6","GABBR2"
"KLHL29",0.829,Inf,0.658,Inf,0.962,0.691,"PAX6","KLHL29"
"LRRC8B.1",0.171,-Inf,0.658,-Inf,0.644,0.934,"PAX6","LRRC8B"
"MPPED1.1",0.172,-Inf,0.656,-Inf,0.385,0.86,"PAX6","MPPED1"
"LIMCH1",0.174,-158.903720739009,0.652,-229.249609888972,0.798,0.968,"PAX6","LIMCH1"
"RIMS2.1",0.823,-35.7946414233983,0.646,-51.6407516719353,1,1,"PAX6","RIMS2"
"SV2C.1",0.178,-Inf,0.644,-Inf,0.375,0.788,"PAX6","SV2C"
"ELL2",0.82,-68.2848653867857,0.64,-98.5142366612861,0.808,0.26,"PAX6","ELL2"
"MAGI3",0.182,-Inf,0.636,-Inf,0.856,0.986,"PAX6","MAGI3"
"BMPER",0.818,55.2099409686469,0.636,79.6511080432394,0.981,0.787,"PAX6","BMPER"
"LOC105374056",0.183,-Inf,0.634,-Inf,0.279,0.807,"PAX6","LOC105374056"
"NKAIN2",0.817,64.7800720907926,0.634,93.457888753816,1,0.991,"PAX6","NKAIN2"
"PCLO",0.816,38.5704761569953,0.632,55.6454346764232,1,0.995,"PAX6","PCLO"
"SIPA1L1.1",0.186,-169.932200698567,0.628,-245.16034323517,1,0.998,"PAX6","SIPA1L1"
"PTCHD4.1",0.19,-Inf,0.62,-Inf,0.635,0.849,"PAX6","PTCHD4"
"SNCA",0.809,-68.9443407947688,0.618,-99.4656585619716,0.99,0.601,"PAX6","SNCA"
"MCTP1.1",0.191,-403.178638807152,0.618,-581.663822799441,0.817,0.961,"PAX6","MCTP1"
"FMN1",0.192,-320.772498239102,0.616,-462.776892463116,0.654,0.896,"PAX6","FMN1"
"NRXN1.1",0.806,-50.0300484577321,0.612,-72.1781028054046,1,1,"PAX6","NRXN1"
"GABRG3",0.805,11.6288906026185,0.61,16.776942803438,1,0.987,"PAX6","GABRG3"
"NRSN1",0.803,-132.147810304551,0.606,-190.648990590711,0.962,0.624,"PAX6","NRSN1"
"EPHB6",0.197,-Inf,0.606,-Inf,0.048,0.627,"PAX6","EPHB6"
"CDH18",0.799,106.632494008622,0.598,153.838170303861,1,0.97,"PAX6","CDH18"
"SLIT3",0.798,-163.841224250182,0.596,-236.372921718914,0.971,0.831,"PAX6","SLIT3"
"GRIA2",0.797,-56.0434675217194,0.594,-80.8536326678063,1,1,"PAX6","GRIA2"
"LOC101926953",0.204,-338.245604317362,0.592,-487.985255951149,0.385,0.82,"PAX6","LOC101926953"
"SLC9A9",0.794,25.5362199485064,0.588,36.8409778827601,0.817,0.543,"PAX6","SLC9A9"
"RPH3A",0.206,-Inf,0.588,-Inf,0.74,0.952,"PAX6","RPH3A"
"ROBO2",0.792,-57.8254643481587,0.584,-83.4245106521901,1,1,"PAX6","ROBO2"
"PCDH7",0.792,-12.7639656336816,0.584,-18.4145099217897,0.952,0.797,"PAX6","PCDH7"
"MALAT1",0.792,-24.3440988293842,0.584,-35.1211106560634,1,1,"PAX6","MALAT1"
"RYR2",0.791,30.3258822651335,0.582,43.7509999544907,1,0.985,"PAX6","RYR2"
"KIRREL3",0.791,199.341491409163,0.582,287.58898109941,0.99,0.857,"PAX6","KIRREL3"
"TENM2",0.211,-240.221736873117,0.578,-346.56670850058,0.942,0.984,"PAX6","TENM2"
"ANKRD34C-AS1",0.788,Inf,0.576,Inf,0.712,0.254,"PAX6","ANKRD34C-AS1"
"PAPSS2",0.212,-Inf,0.576,-Inf,0.135,0.64,"PAX6","PAPSS2"
"GRM8",0.212,-Inf,0.576,-Inf,0.654,0.859,"PAX6","GRM8"
"CSMD3",0.212,-159.413004439951,0.576,-229.984350958728,1,1,"PAX6","CSMD3"
"NCALD",0.785,-115.629570797598,0.57,-166.818208369814,0.99,0.934,"PAX6","NCALD"
"POU6F2.1",0.215,-530.914643342822,0.57,-765.947923086022,0.337,0.723,"PAX6","POU6F2"
"SLC2A13",0.784,-5.92205946617145,0.568,-8.54372582369507,1,0.968,"PAX6","SLC2A13"
"UTRN.1",0.217,-Inf,0.566,-Inf,0.567,0.853,"PAX6","UTRN"
"ANKS1B",0.217,-87.6836879731688,0.566,-126.500821805746,1,1,"PAX6","ANKS1B"
"FUT9",0.779,-50.7025371040963,0.558,-73.1482988405684,1,0.917,"PAX6","FUT9"
"FAM155A",0.779,21.2085829216352,0.558,30.5975174053254,1,0.999,"PAX6","FAM155A"
"PKP2",0.224,-Inf,0.552,-Inf,0.423,0.75,"PAX6","PKP2"
"LINC00299",0.224,-Inf,0.552,-Inf,0.817,0.873,"PAX6","LINC00299"
"LRRTM4.1",0.774,-51.5011661528516,0.548,-74.3004770087176,1,0.981,"PAX6","LRRTM4"
"HDAC9",0.226,-334.727415497113,0.548,-482.909582387265,1,1,"PAX6","HDAC9"
"OSBPL3.1",0.227,-576.642508461032,0.546,-831.919287322503,0.317,0.694,"PAX6","OSBPL3"
"GABRG2",0.771,-111.826866381089,0.542,-161.332065566149,0.981,0.904,"PAX6","GABRG2"
"RPS6KA2",0.229,-303.557832526064,0.542,-437.941379608355,0.904,0.979,"PAX6","RPS6KA2"
"LINC00403",0.23,-Inf,0.54,-Inf,0.087,0.581,"PAX6","LINC00403"
"LINC01322.1",0.769,-12.3945744811828,0.538,-17.8815911379313,0.885,0.592,"PAX6","LINC01322"
"RGS6",0.231,-272.18812916816,0.538,-392.684464139749,0.702,0.864,"PAX6","RGS6"
"KCND2",0.768,251.317145540984,0.536,362.573999562348,1,0.977,"PAX6","KCND2"
"CNTNAP2",0.768,-65.130661765797,0.536,-93.9636827393317,1,1,"PAX6","CNTNAP2"
"PTPRT.1",0.232,-Inf,0.536,-Inf,0.971,0.969,"PAX6","PTPRT"
"DLGAP1",0.232,-114.644348325584,0.536,-165.396832795267,1,1,"PAX6","DLGAP1"
"CBLN4",0.233,-Inf,0.534,-Inf,0.038,0.552,"PAX6","CBLN4"
"FSTL5",0.234,-Inf,0.532,-Inf,1,1,"PAX6","FSTL5"
"PRICKLE2",0.236,-Inf,0.528,-Inf,0.76,0.928,"PAX6","PRICKLE2"
"KIRREL",0.237,-Inf,0.526,-Inf,0.154,0.607,"PAX6","KIRREL"
"CABP1",0.762,86.4398002292884,0.524,124.706271126227,0.971,0.814,"PAX6","CABP1"
"ERBB4",0.238,-Inf,0.524,-Inf,1,1,"PAX6","ERBB4"
"KCNQ1OT1",0.76,Inf,0.52,Inf,0.981,0.754,"PAX6","KCNQ1OT1"
"LOC105374054",0.24,-Inf,0.52,-Inf,0.24,0.714,"PAX6","LOC105374054"
"KCNH1",0.24,-137.888524051558,0.52,-198.931089844682,0.971,0.984,"PAX6","KCNH1"
"AFF3",0.759,-23.4776488610943,0.518,-33.8710875836331,1,0.985,"PAX6","AFF3"
"ADAMTS19.1",0.242,-Inf,0.516,-Inf,0.663,0.913,"PAX6","ADAMTS19"
"SAMD12",0.246,-301.740508764336,0.508,-435.31953562962,0.933,0.979,"PAX6","SAMD12"
"ATP2B4",0.753,-195.500619541526,0.506,-282.047774303279,0.933,0.707,"PAX6","ATP2B4"
"CNTN4",0.247,-304.976131070143,0.506,-439.987551884398,0.923,0.979,"PAX6","CNTN4"
"GRAMD1B",0.752,44.9812611844521,0.504,64.8942424437403,0.99,0.923,"PAX6","GRAMD1B"
"SLIT2",0.248,-459.753908928298,0.504,-663.284684440172,0.356,0.699,"PAX6","SLIT2"
"LRRN2",0.248,-Inf,0.504,-Inf,0.221,0.666,"PAX6","LRRN2"
"GAD2",0.248,-Inf,0.504,-Inf,0.952,0.956,"PAX6","GAD2"
"CLSTN2.1",0.248,-238.271006436453,0.504,-343.752399373493,0.548,0.772,"PAX6","CLSTN2"
"CACNG3",0.248,-353.390633149047,0.504,-509.834913940742,0.615,0.853,"PAX6","CACNG3"
"ZNF804A",0.751,Inf,0.502,Inf,0.952,0.79,"PAX6","ZNF804A"
"GRIK2",0.751,44.5568980064539,0.502,64.2820157913065,1,1,"PAX6","GRIK2"
"MAST4.1",0.249,-218.043894701488,0.502,-314.570845581952,0.942,0.988,"PAX6","MAST4"
"COL21A1",0.249,-Inf,0.502,-Inf,0.577,0.794,"PAX6","COL21A1"
"CSMD1",0.027,-114.561281870274,0.946,-165.276993232127,0.981,1,"MC4R","CSMD1"
"SORCS1.2",0.946,Inf,0.892,Inf,1,0.993,"MC4R","SORCS1"
"GRIN2A.1",0.062,-565.580861821648,0.876,-815.960704571798,0.745,0.97,"MC4R","GRIN2A"
"ASIC2.1",0.924,168.042458097375,0.848,242.434020955875,1,0.948,"MC4R","ASIC2"
"MYO16",0.081,-Inf,0.838,-Inf,0.682,0.953,"MC4R","MYO16"
"GRIA4.2",0.085,-540.193369208184,0.83,-779.334294877747,0.675,0.96,"MC4R","GRIA4"
"TSHZ2.1",0.91,243.340440163837,0.82,351.066046272105,0.981,0.771,"MC4R","TSHZ2"
"FAM19A1.1",0.908,78.1490694004412,0.816,112.745274874104,0.968,0.724,"MC4R","FAM19A1"
"UNC5D.1",0.092,-322.085060978115,0.816,-464.670520217545,0.771,0.974,"MC4R","UNC5D"
"NXPH1",0.095,-Inf,0.81,-Inf,0.465,0.901,"MC4R","NXPH1"
"UNC5C.1",0.098,-Inf,0.804,-Inf,0.675,0.95,"MC4R","UNC5C"
"GRM5.1",0.111,-181.604183884627,0.778,-261.999455495039,0.803,0.996,"MC4R","GRM5"
"ALK",0.111,-Inf,0.778,-Inf,0.662,0.939,"MC4R","ALK"
"FRAS1.1",0.116,-Inf,0.768,-Inf,0.809,0.954,"MC4R","FRAS1"
"HS6ST3.1",0.883,-2.95882828902052,0.766,-4.26868689941188,1,0.894,"MC4R","HS6ST3"
"CDH9.1",0.882,Inf,0.764,Inf,0.987,0.79,"MC4R","CDH9"
"PTPRT.2",0.122,-Inf,0.756,-Inf,0.898,0.98,"MC4R","PTPRT"
"CNTN5",0.875,Inf,0.75,Inf,1,1,"MC4R","CNTN5"
"NELL2.1",0.873,20.8330840296755,0.746,30.0557870160359,0.987,0.849,"MC4R","NELL2"
"TOX2",0.13,-Inf,0.74,-Inf,0.331,0.825,"MC4R","TOX2"
"RGS6.1",0.868,-44.2254722932429,0.736,-63.8038695584338,1,0.825,"MC4R","RGS6"
"CDH12.2",0.863,30.5555221939662,0.726,44.0823003410077,1,0.974,"MC4R","CDH12"
"KALRN.1",0.86,50.8794086546054,0.72,73.4034705493623,1,0.999,"MC4R","KALRN"
"GRIP1",0.14,-Inf,0.72,-Inf,1,0.999,"MC4R","GRIP1"
"LOC440040.1",0.15,-523.655085584988,0.7,-755.474595109748,0.669,0.93,"MC4R","LOC440040"
"KCTD8",0.154,-345.299603073181,0.692,-498.162024974605,0.605,0.93,"MC4R","KCTD8"
"TMEM108.1",0.844,-10.8688335256016,0.688,-15.6804122276332,1,0.969,"MC4R","TMEM108"
"ADRBK2.1",0.159,-Inf,0.682,-Inf,0.796,0.985,"MC4R","ADRBK2"
"FAT1",0.161,-Inf,0.678,-Inf,0.172,0.748,"MC4R","FAT1"
"ZNF385B.1",0.837,2.70070086591483,0.674,3.89628774617984,1,0.939,"MC4R","ZNF385B"
"ZFPM2",0.837,-99.8111192297653,0.674,-143.99700673836,0.892,0.577,"MC4R","ZFPM2"
"B3GALT1.2",0.165,-322.009129530627,0.67,-464.560974294808,0.955,0.995,"MC4R","B3GALT1"
"PTCHD4.2",0.169,-Inf,0.662,-Inf,0.573,0.871,"MC4R","PTCHD4"
"SPOCK1.1",0.177,-134.871464177184,0.646,-194.578392525856,0.898,0.981,"MC4R","SPOCK1"
"ARPP21.1",0.823,-177.761362204963,0.646,-256.455435714767,0.949,0.612,"MC4R","ARPP21"
"NXPH2",0.18,-Inf,0.64,-Inf,0.166,0.7,"MC4R","NXPH2"
"NTRK2.1",0.18,-269.856937068948,0.64,-389.321264858856,0.968,0.999,"MC4R","NTRK2"
"NRG1.2",0.181,-359.495555984455,0.638,-518.642455840394,0.898,0.943,"MC4R","NRG1"
"NBEA",0.819,60.1730339388831,0.638,86.8113376588698,1,0.999,"MC4R","NBEA"
"CACNA2D3.2",0.814,-94.4160978613756,0.628,-136.213636164694,0.994,0.975,"MC4R","CACNA2D3"
"LOC101928964",0.811,Inf,0.622,Inf,0.892,0.677,"MC4R","LOC101928964"
"SLC6A1",0.189,-Inf,0.622,-Inf,0.994,0.981,"MC4R","SLC6A1"
"BRINP2.1",0.19,-Inf,0.62,-Inf,0.478,0.852,"MC4R","BRINP2"
"SV2C.2",0.191,-Inf,0.618,-Inf,0.478,0.794,"MC4R","SV2C"
"PDZRN3.1",0.191,-469.827858071293,0.618,-677.818320910937,0.567,0.892,"MC4R","PDZRN3"
"ADCY2.1",0.807,29.2658746178149,0.614,42.2217321783997,1,0.985,"MC4R","ADCY2"
"RALYL.1",0.194,-128.703513067359,0.612,-185.679920047267,0.898,0.967,"MC4R","RALYL"
"FAM135B",0.195,-264.861504863551,0.61,-382.114379589034,0.624,0.885,"MC4R","FAM135B"
"EFNA5.1",0.195,-238.76433394368,0.61,-344.464120521704,0.611,0.912,"MC4R","EFNA5"
"AJAP1",0.195,-Inf,0.61,-Inf,0.331,0.792,"MC4R","AJAP1"
"TRPC3",0.197,-Inf,0.606,-Inf,0.064,0.634,"MC4R","TRPC3"
"SPECC1",0.197,-373.015928023809,0.606,-538.148229532544,0.783,0.94,"MC4R","SPECC1"
"LARGE.1",0.8,-100.159258546182,0.6,-144.499265603693,1,0.976,"MC4R","LARGE"
"SRGAP3",0.2,-226.734277696013,0.6,-327.108418031579,0.866,0.98,"MC4R","SRGAP3"
"B3GALT2",0.2,-Inf,0.6,-Inf,0.121,0.685,"MC4R","B3GALT2"
"LAMP5.2",0.201,-Inf,0.598,-Inf,0.134,0.668,"MC4R","LAMP5"
"ADGRL2.2",0.201,-184.956290849366,0.598,-266.835523589597,0.854,0.964,"MC4R","ADGRL2"
"MAGI2.1",0.798,-71.0986770449844,0.596,-102.573708786565,1,1,"MC4R","MAGI2"
"ST6GAL2.1",0.203,-487.580207451376,0.594,-703.429547325712,0.159,0.674,"MC4R","ST6GAL2"
"SPHKAP",0.203,-Inf,0.594,-Inf,0.299,0.736,"MC4R","SPHKAP"
"MARCH1.1",0.795,-179.013167327404,0.59,-258.261408757072,0.994,0.952,"MC4R","MARCH1"
"LINC00403.1",0.205,-Inf,0.59,-Inf,0.051,0.614,"MC4R","LINC00403"
"FXYD6",0.206,-Inf,0.588,-Inf,0.739,0.991,"MC4R","FXYD6"
"MPP6.1",0.208,-Inf,0.584,-Inf,0.828,0.961,"MC4R","MPP6"
"FBXL7",0.208,-Inf,0.584,-Inf,0.675,0.873,"MC4R","FBXL7"
"PAICSP4",0.209,-384.888924914656,0.582,-555.277343267459,0.471,0.793,"MC4R","PAICSP4"
