"","myAUC","avg_diff","power","avg_log2FC","pct.1","pct.2","cluster","gene"
"PTPRT",0.987,Inf,0.974,Inf,0.997,0.93,"LAMP5","PTPRT"
"SV2C",0.982,Inf,0.964,Inf,0.98,0.433,"LAMP5","SV2C"
"L3MBTL4",0.023,-Inf,0.954,-Inf,0.581,0.998,"LAMP5","L3MBTL4"
"PTCHD4",0.969,Inf,0.938,Inf,0.997,0.599,"LAMP5","PTCHD4"
"GRIA4",0.965,392.580916559149,0.93,566.374541467528,1,0.809,"LAMP5","GRIA4"
"CDH12",0.053,-227.005516201961,0.894,-327.499732479009,0.963,0.998,"LAMP5","CDH12"
"GRIN2A",0.945,330.687835798314,0.89,477.081700788532,1,0.854,"LAMP5","GRIN2A"
"NPAS3",0.057,-Inf,0.886,-Inf,0.96,1,"LAMP5","NPAS3"
"ASIC2",0.058,-295.36262287776,0.884,-426.118191289702,0.923,1,"LAMP5","ASIC2"
"CACNA2D1",0.94,380.7855107804,0.88,549.357368045255,0.994,0.832,"LAMP5","CACNA2D1"
"LAMP5",0.937,Inf,0.874,Inf,0.915,0.149,"LAMP5","LAMP5"
"UTRN",0.911,Inf,0.822,Inf,0.965,0.637,"LAMP5","UTRN"
"ARPP21",0.09,-242.915467140095,0.82,-350.452939798241,0.476,0.911,"LAMP5","ARPP21"
"CACNA2D3",0.092,-282.914605199567,0.816,-408.159497916475,0.965,0.996,"LAMP5","CACNA2D3"
"FRAS1",0.894,Inf,0.788,Inf,0.994,0.851,"LAMP5","FRAS1"
"GRM5",0.891,165.398595964937,0.782,238.619734168612,1,0.926,"LAMP5","GRM5"
"KCNAB1",0.886,Inf,0.772,Inf,1,0.951,"LAMP5","KCNAB1"
"LRRTM4",0.115,-29.5962440303004,0.77,-42.698354491454,0.972,0.998,"LAMP5","LRRTM4"
"NRG1",0.883,326.215982404204,0.766,470.630180073267,0.983,0.873,"LAMP5","NRG1"
"UNC5D",0.878,238.043835461875,0.756,343.424660935036,0.998,0.873,"LAMP5","UNC5D"
"RBFOX1",0.875,-15.0850292232672,0.75,-21.7630968520727,1,1,"LAMP5","RBFOX1"
"MPPED1",0.871,Inf,0.742,Inf,0.989,0.577,"LAMP5","MPPED1"
"MGAT4C",0.871,Inf,0.742,Inf,1,0.989,"LAMP5","MGAT4C"
"CDH10",0.132,-300.881293507173,0.736,-434.079950039055,0.569,0.955,"LAMP5","CDH10"
"NRXN3",0.133,-139.54735338659,0.734,-201.324274700014,1,1,"LAMP5","NRXN3"
"SGCZ",0.866,Inf,0.732,Inf,0.998,0.949,"LAMP5","SGCZ"
"SYNPR",0.137,-Inf,0.726,-Inf,0.801,0.989,"LAMP5","SYNPR"
"ADGRL2",0.861,114.450272939391,0.722,165.116841198047,0.997,0.881,"LAMP5","ADGRL2"
"PRKCB",0.854,139.658501939656,0.708,201.484628166324,1,0.964,"LAMP5","PRKCB"
"UNC5C",0.851,Inf,0.702,Inf,0.983,0.813,"LAMP5","UNC5C"
"OPN5",0.848,Inf,0.696,Inf,0.778,0.153,"LAMP5","OPN5"
"SNTG1",0.153,-266.33165808692,0.694,-384.235362353735,0.989,0.998,"LAMP5","SNTG1"
"BRINP2",0.843,Inf,0.686,Inf,0.966,0.569,"LAMP5","BRINP2"
"CDK14",0.841,365.242913562552,0.682,526.934140116531,0.995,0.983,"LAMP5","CDK14"
"PRKD1",0.161,-Inf,0.678,-Inf,0.861,0.983,"LAMP5","PRKD1"
"TMEM132D",0.836,213.293135416354,0.672,307.716948720832,1,0.941,"LAMP5","TMEM132D"
"MCTP1",0.835,229.04172459331,0.67,330.437360227425,0.997,0.879,"LAMP5","MCTP1"
"NRXN1",0.165,-24.3514706388685,0.67,-35.1317459290487,1,1,"LAMP5","NRXN1"
"TMEM132B",0.834,153.750616797806,0.668,221.815252387814,0.998,0.987,"LAMP5","TMEM132B"
"LOC440040",0.834,290.957544203916,0.668,419.76300613222,0.982,0.773,"LAMP5","LOC440040"
"KCTD16",0.833,133.54140555854,0.666,192.659523552648,1,0.943,"LAMP5","KCTD16"
"TRIM9",0.167,-27.2303726432865,0.666,-39.2851235740279,0.814,0.983,"LAMP5","TRIM9"
"FGF14",0.83,189.546309330003,0.66,273.457520489201,1,1,"LAMP5","FGF14"
"CNTN3",0.17,-248.672658043352,0.66,-358.758810563821,0.61,0.902,"LAMP5","CNTN3"
"XKR4",0.827,300.135915629331,0.654,433.004597071104,1,0.977,"LAMP5","XKR4"
"COL16A1",0.178,-Inf,0.644,-Inf,0.213,0.735,"LAMP5","COL16A1"
"RIMS2",0.179,-45.9447763142545,0.642,-66.2843009433276,1,1,"LAMP5","RIMS2"
"ADAMTSL3",0.82,Inf,0.64,Inf,0.918,0.673,"LAMP5","ADAMTSL3"
"PDGFD",0.816,Inf,0.632,Inf,0.784,0.372,"LAMP5","PDGFD"
"RGS7",0.815,4.23667914215878,0.63,6.11223598823022,1,1,"LAMP5","RGS7"
"MAP3K5",0.812,Inf,0.624,Inf,0.869,0.599,"LAMP5","MAP3K5"
"MARCH1",0.19,-309.807778704895,0.62,-446.958145966377,0.937,0.987,"LAMP5","MARCH1"
"PHACTR2",0.809,Inf,0.618,Inf,0.806,0.391,"LAMP5","PHACTR2"
"MPP6",0.805,Inf,0.61,Inf,0.991,0.875,"LAMP5","MPP6"
"MIR181A1HG",0.805,282.017497191119,0.61,406.865244641545,0.837,0.42,"LAMP5","MIR181A1HG"
"HRH1",0.805,Inf,0.61,Inf,0.732,0.268,"LAMP5","HRH1"
"SPOCK1",0.802,136.364697160946,0.604,196.732672346422,0.997,0.932,"LAMP5","SPOCK1"
"ADRBK2",0.798,Inf,0.596,Inf,0.998,0.904,"LAMP5","ADRBK2"
"SIPA1L1",0.797,22.4773613743153,0.594,32.4279777869938,1,0.996,"LAMP5","SIPA1L1"
"KCNH5",0.79,212.500829129918,0.58,306.573892370526,0.814,0.467,"LAMP5","KCNH5"
"OSBPL6",0.787,318.140824579988,0.574,458.980189925874,0.997,0.909,"LAMP5","OSBPL6"
"KCNC2",0.783,262.350623325624,0.566,378.491943246006,0.997,0.996,"LAMP5","KCNC2"
