slice,cell_name,donor_name,t-type,layer,target_layer,has_morph,collaborator,roi,condition
H19.29.146.11.24,H19.29.146.11.24.05,H19.29.146,SST BAGE2,,1,False,Huib,TCx_L1,
H19.29.146.11.41,H19.29.146.11.41.03,H19.29.146,ADARB2 MC4R,,1,False,Huib,TCx_L1,
H20.28.001.11.05,H20.28.001.11.05.05,H20.28.001,LAMP5 NMBR,1,1,True,Gabor,OCx_L1,
H20.28.001.11.05 ,H20.28.001.11.05 .01,H20.28.001,,1,1,True,Gabor,OCx_L1,
H20.29.183.11.11,H20.29.183.11.11.02,H20.29.183,SST CHRNA4,,1,False,Huib,TCx_LL1,
H20.29.183.11.12,H20.29.183.11.12.01,H20.29.183,LAMP5 NMBR,,1,False,Huib,TCx_LL1,
H21.28.019.11.05,H21.28.019.11.05.06,H21.28.019,PAX6 CDH12,,1,False,Gabor,PCx_LL1,
H21.28.022.11.05,H21.28.022.11.05.09,H21.28.022,PAX6 CDH12,,1,False,Gabor,TCx_LL1,
